Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
159 /catalog/search/,500,69,60,83,95,251,48,1079,"0,000%","8,16060","411,86","3,99"
TOTAL,500,69,60,83,95,251,48,1079,"0,000%","8,16060","411,86","3,99"
